,Bill,annual_bill_number,year,url
67,"Tourist Traffic (Amendment)(No. 2) Bill, 1951",23,1951,https://www.oireachtas.ie/en/bills/bill/1951/23/
68,"Foyle Fisheries Act, 1952",22,1951,https://www.oireachtas.ie/en/bills/bill/1951/22/
69,"Appropriation Act, 1951",21,1951,https://www.oireachtas.ie/en/bills/bill/1951/21/
70,"Seeds and Fertilisers Supply Act, 1951",20,1951,https://www.oireachtas.ie/en/bills/bill/1951/20/
71,Local Government (Remission of Rates) Act  1951,19,1951,https://www.oireachtas.ie/en/bills/bill/1951/19/
72,"Freshwater Fisheries (Prohibition of Netting) Act, 1951",18,1951,https://www.oireachtas.ie/en/bills/bill/1951/18/
73,"Local Loans Fund (Amendment) Act, 1951",17,1951,https://www.oireachtas.ie/en/bills/bill/1951/17/
74,"Social Welfare Act, 1951",16,1951,https://www.oireachtas.ie/en/bills/bill/1951/16/
75,"Finance Act, 1951",15,1951,https://www.oireachtas.ie/en/bills/bill/1951/15/
76,"Post Office (Amendment) Act, 1951",14,1951,https://www.oireachtas.ie/en/bills/bill/1951/14/
77,"Trade Union Act, 1951",13,1951,https://www.oireachtas.ie/en/bills/bill/1951/13/
78,"Imposition of Duties (Confirmation of Order)(No. 2) Act, 1951",12,1951,https://www.oireachtas.ie/en/bills/bill/1951/12/
79,"Telephone Capital Act, 1951",11,1951,https://www.oireachtas.ie/en/bills/bill/1951/11/
80,"Government Loans (Conversion) Act, 1951",10,1951,https://www.oireachtas.ie/en/bills/bill/1951/10/
81,"Collection of Taxes (Confirmation Act, 1951",/9,/195,https://www.oireachtas.ie/en/bills/bill/1951/9/
82,Foyle Fisheries Bill 1951,/8,/195,https://www.oireachtas.ie/en/bills/bill/1951/8/
83,"Intestates' Estates Bill, 1951",/7,/195,https://www.oireachtas.ie/en/bills/bill/1951/7/
84,"Central Fund Act, 1951",/6,/195,https://www.oireachtas.ie/en/bills/bill/1951/6/
85,Local Government (Remission of Rates) Bill 1951,/5,/195,https://www.oireachtas.ie/en/bills/bill/1951/5/
86,"Arts Act, 1951",/4,/195,https://www.oireachtas.ie/en/bills/bill/1951/4/
87,Tourist Traffic (Amendment) Bill 1951,/3,/195,https://www.oireachtas.ie/en/bills/bill/1951/3/
88,"Defence Forces (Temporary Provisions) Act, 1951",/2,/195,https://www.oireachtas.ie/en/bills/bill/1951/2/
89,"Waterford (Extension of Harbour Limits) Harbour Works Order, 1951 Confirmation Act  1951 [Private]",P1,1951,https://www.oireachtas.ie/en/bills/bill/1951/P1/
90,"Imposition of Duties (Confirmation of Orders) Act, 1951",/1,/195,https://www.oireachtas.ie/en/bills/bill/1951/1/
91,"Court Officers Act, 1951",41,1950,https://www.oireachtas.ie/en/bills/bill/1950/41/
92,"Rates on Agricultural Land (Relief)(No. 2) Act, 1951",40,1950,https://www.oireachtas.ie/en/bills/bill/1950/40/
93,"Tortfeasors Act, 1951",38,1950,https://www.oireachtas.ie/en/bills/bill/1950/38/
94,"Agricultural Workers (Weekly Half-Holidays) Act, 1951",27,1950,https://www.oireachtas.ie/en/bills/bill/1950/27/
95,"Meath Hospital Act, 1951",/7,/195,https://www.oireachtas.ie/en/bills/bill/1950/7/
96,"Criminal Justice Act, 1951",25,1949,https://www.oireachtas.ie/en/bills/bill/1949/25/
97,"Civil Liability Bill, 1952",45,1952,https://www.oireachtas.ie/en/bills/bill/1952/45/
98,"Health Act, 1953",44,1952,https://www.oireachtas.ie/en/bills/bill/1952/44/
99,"Military Service Pensions (Amendment) Act, 1953",43,1952,https://www.oireachtas.ie/en/bills/bill/1952/43/
100,"Land (No. 2) Act, 1953",42,1952,https://www.oireachtas.ie/en/bills/bill/1952/42/
101,"Friendly Societies (Amendment) Act, 1953",41,1952,https://www.oireachtas.ie/en/bills/bill/1952/41/
102,Fisheries (Consolidation) Act  1953,40,1952,https://www.oireachtas.ie/en/bills/bill/1952/40/
103,"Seanad Electoral (Panel Members) Act, 1954",39,1952,https://www.oireachtas.ie/en/bills/bill/1952/39/
104,"Pensions Act, 1952",38,1952,https://www.oireachtas.ie/en/bills/bill/1952/38/
105,"Workmen's Compensation (Amendment) Bill, 1952",37,1952,https://www.oireachtas.ie/en/bills/bill/1952/37/
106,"Expiring Laws Act, 1952",36,1952,https://www.oireachtas.ie/en/bills/bill/1952/36/
107,"Local Government (No. 2) Bill, 1952",35,1952,https://www.oireachtas.ie/en/bills/bill/1952/35/
108,"Imposition of Duties (Confirmation of Orders)(No. 2) Act, 1952",34,1952,https://www.oireachtas.ie/en/bills/bill/1952/34/
109,"Finance (Excise Duties)(Vehicles) Act, 1952",33,1952,https://www.oireachtas.ie/en/bills/bill/1952/33/
110,"Ministerial and Parliamentary Offices (Amendment) Act, 1952",32,1952,https://www.oireachtas.ie/en/bills/bill/1952/32/
111,"Rent Restrictions (Continuance and Amendment) Act, 1952",31,1952,https://www.oireachtas.ie/en/bills/bill/1952/31/
112,"Supplies and Services (Temporary Provisions) Act, 1946 (Continuance) Act, 1952",30,1952,https://www.oireachtas.ie/en/bills/bill/1952/30/
113,"Local Government (Sanitary Services)(Joint Burial Boards) Act, 1952",29,1952,https://www.oireachtas.ie/en/bills/bill/1952/29/
114,"Local Government Act, 1953",28,1952,https://www.oireachtas.ie/en/bills/bill/1952/28/
115,"Local Government (Remission of Rates) Act, 1952",27,1952,https://www.oireachtas.ie/en/bills/bill/1952/27/
116,"Appropriation Act, 1952",26,1952,https://www.oireachtas.ie/en/bills/bill/1952/26/
117,"State Guarantees Act, 1954",25,1952,https://www.oireachtas.ie/en/bills/bill/1952/25/
118,"Comptroller and Auditor General (Amendment) Act, 1953",24,1952,https://www.oireachtas.ie/en/bills/bill/1952/24/
119,"Department of Lands (Establishment of Foresters) Act, 1953",23,1952,https://www.oireachtas.ie/en/bills/bill/1952/23/
120,"Courts of Justice Bill, 1952",22,1952,https://www.oireachtas.ie/en/bills/bill/1952/22/
121,"Insurance Act, 1953",21,1952,https://www.oireachtas.ie/en/bills/bill/1952/21/
122,"Grass Meal (Production) Act, 1953",20,1952,https://www.oireachtas.ie/en/bills/bill/1952/20/
123,"Trade Loans (Guarantee)(Amendment) Act, 1953",19,1952,https://www.oireachtas.ie/en/bills/bill/1952/19/
124,"Merchant Shipping (Safety Convention) Act, 1952",18,1952,https://www.oireachtas.ie/en/bills/bill/1952/18/
125,"Agricultural Works (Weekly Half-Holidays) Act, 1952",17,1952,https://www.oireachtas.ie/en/bills/bill/1952/17/
126,"Restrictive Trade Practices Act, 1953",16,1952,https://www.oireachtas.ie/en/bills/bill/1952/16/
127,"Trade Union Act, 1952",15,1952,https://www.oireachtas.ie/en/bills/bill/1952/15/
128,"Imposition of Duties (Confirmation of Orders) Act, 1952",14,1952,https://www.oireachtas.ie/en/bills/bill/1952/14/
129,"Social Welfare (Children's Allowance) Act, 1952",13,1952,https://www.oireachtas.ie/en/bills/bill/1952/13/
130,"Finance Act, 1952",12,1952,https://www.oireachtas.ie/en/bills/bill/1952/12/
131,"Adoption Act, 1952",11,1952,https://www.oireachtas.ie/en/bills/bill/1952/11/
132,"Land Bill, 1952",10,1952,https://www.oireachtas.ie/en/bills/bill/1952/10/
133,"Housing (Amendment) Act, 1952",/9,/195,https://www.oireachtas.ie/en/bills/bill/1952/9/
134,"Central Fund Act, 1952",/8,/195,https://www.oireachtas.ie/en/bills/bill/1952/8/
135,"Veterinary Surgeons Act, 1952",/7,/195,https://www.oireachtas.ie/en/bills/bill/1952/7/
136,"Public Authorities (Judicial Proceedings) Bill, 1952",/6,/195,https://www.oireachtas.ie/en/bills/bill/1952/6/
137,"Sea Fisheries Act, 1952",/4,/195,https://www.oireachtas.ie/en/bills/bill/1952/4/
138,"Vital Statistics and Births, Deaths and Marriages Registration Act, 1952",/3,/195,https://www.oireachtas.ie/en/bills/bill/1952/3/
139,"Defence Forces (Temporary Provisions) Act, 1952",/2,/195,https://www.oireachtas.ie/en/bills/bill/1952/2/
140,Royal Hospital for Incurables Dublin (Charter Amendment) Act  1953 [Private],P1,1952,https://www.oireachtas.ie/en/bills/bill/1952/P1/
141,"Milk (Regulation of Supply and Price)(Amendment) Act, 1952",/1,/195,https://www.oireachtas.ie/en/bills/bill/1952/1/
142,Social Welfare (Insurance) Act  1952,37,1951,https://www.oireachtas.ie/en/bills/bill/1951/37/
143,"Rates on Agricultural Land (Relief) Act, 1952",36,1951,https://www.oireachtas.ie/en/bills/bill/1951/36/
144,"Electricity (Supply)(Amendment) Act, 1952",35,1951,https://www.oireachtas.ie/en/bills/bill/1951/35/
145,"Tourist Traffic Act, 1952",34,1951,https://www.oireachtas.ie/en/bills/bill/1951/34/
146,"Undeveloped Areas Act, 1952",25,1951,https://www.oireachtas.ie/en/bills/bill/1951/25/
147,"Foyle Fisheries Act, 1952",22,1951,https://www.oireachtas.ie/en/bills/bill/1951/22/
148,"Industrial Research and Standards (Amendment) Act, 1954",39,1953,https://www.oireachtas.ie/en/bills/bill/1953/39/
149,"Electricity (Supply)(Amendment) Act, 1954",38,1953,https://www.oireachtas.ie/en/bills/bill/1953/38/
150,"Mental Treatment Act, 1953",37,1953,https://www.oireachtas.ie/en/bills/bill/1953/37/
151,"County Management (Amendment) Bill, 1953",36,1953,https://www.oireachtas.ie/en/bills/bill/1953/36/
152,"Local Government (Temporary Reduction of Valuation) Act, 1954",35,1953,https://www.oireachtas.ie/en/bills/bill/1953/35/
153,"Salmon Conservancy Fund Act, 1954",34,1953,https://www.oireachtas.ie/en/bills/bill/1953/34/
154,"Local Loans Fund (Amendment)(No. 2) Act, 1954",33,1953,https://www.oireachtas.ie/en/bills/bill/1953/33/
155,"National Development Fund Act, 1954",32,1953,https://www.oireachtas.ie/en/bills/bill/1953/32/
156,"Labourers' Bill, 1953",31,1953,https://www.oireachtas.ie/en/bills/bill/1953/31/
157,"Appropriation Act, 1953",30,1953,https://www.oireachtas.ie/en/bills/bill/1953/30/
158,"Vocational Education (Amendment) Act, 1953",29,1953,https://www.oireachtas.ie/en/bills/bill/1953/29/
159,"Imposition of Duties (Confirmation of Orders)(No. 2) Act, 1953",28,1953,https://www.oireachtas.ie/en/bills/bill/1953/28/
160,"Rent Restrictions (Continuance and Amendment) Act, 1953",27,1953,https://www.oireachtas.ie/en/bills/bill/1953/27/
161,"Intoxicating Liquor Act, 1953",26,1953,https://www.oireachtas.ie/en/bills/bill/1953/26/
162,"Rates on Agricultural Land (Relief) Act, 1953",25,1953,https://www.oireachtas.ie/en/bills/bill/1953/25/
163,"Supplies and Services (Temporary Provisions) Act, 1946 (Continuance) Act, 1953",24,1953,https://www.oireachtas.ie/en/bills/bill/1953/24/
164,"Factories Bill, 1953",23,1953,https://www.oireachtas.ie/en/bills/bill/1953/23/
165,"Central Fund (No. 2) Act, 1953",22,1953,https://www.oireachtas.ie/en/bills/bill/1953/22/
166,"Intestates' Estates Act, 1954",21,1953,https://www.oireachtas.ie/en/bills/bill/1953/21/
167,"Telegraphs Act, 1953",20,1953,https://www.oireachtas.ie/en/bills/bill/1953/20/
168,"Imposition of Duties (Confirmation of Orders) Act, 1953",19,1953,https://www.oireachtas.ie/en/bills/bill/1953/19/
169,"Consular Conventions Act, 1954",18,1953,https://www.oireachtas.ie/en/bills/bill/1953/18/
170,"Courts of Justice Act, 1953",17,1953,https://www.oireachtas.ie/en/bills/bill/1953/17/
171,"Valuation Bill, 1953",16,1953,https://www.oireachtas.ie/en/bills/bill/1953/16/
172,"Finance Act, 1953",15,1953,https://www.oireachtas.ie/en/bills/bill/1953/15/
173,"Turf Development Act, 1953",14,1953,https://www.oireachtas.ie/en/bills/bill/1953/14/
174,"Local Elections Act, 1953",13,1953,https://www.oireachtas.ie/en/bills/bill/1953/13/
175,"Workmen's Compensation (Amendment) Act, 1953",12,1953,https://www.oireachtas.ie/en/bills/bill/1953/12/
176,"Fisheries (Amendment) Act, 1953",11,1953,https://www.oireachtas.ie/en/bills/bill/1953/11/
177,"Local Government (Dublin)(Amendment) Act, 1953",10,1953,https://www.oireachtas.ie/en/bills/bill/1953/10/
178,"Central Fund Act, 1953",/9,/195,https://www.oireachtas.ie/en/bills/bill/1953/9/
179,"Great Northern Railway Act, 1953",/8,/195,https://www.oireachtas.ie/en/bills/bill/1953/8/
180,"Connaught Rangers (Pensions) Act, 1953",/7,/195,https://www.oireachtas.ie/en/bills/bill/1953/7/
181,"Army Pensions Act, 1953",/6,/195,https://www.oireachtas.ie/en/bills/bill/1953/6/
182,"Fatal Accidents (Amendment) Bill, 1953",/5,/195,https://www.oireachtas.ie/en/bills/bill/1953/5/
183,"Defence Forces (Temporary Provisions) Act, 1953",/4,/195,https://www.oireachtas.ie/en/bills/bill/1953/4/
184,"National Stud Act, 1953",/3,/195,https://www.oireachtas.ie/en/bills/bill/1953/3/
185,Local Government Provisional Order Confirmation Act  1953 [Private],P2,1953,https://www.oireachtas.ie/en/bills/bill/1953/P2/
186,"Local Loans Fund (Amendment) Act, 1953",/2,/195,https://www.oireachtas.ie/en/bills/bill/1953/2/
187,"Housing (Gaeltacht)(Amendment) Act, 1953",/1,/195,https://www.oireachtas.ie/en/bills/bill/1953/1/
188,"Health Act, 1953",44,1952,https://www.oireachtas.ie/en/bills/bill/1952/44/
189,"Military Service Pensions (Amendment) Act, 1953",43,1952,https://www.oireachtas.ie/en/bills/bill/1952/43/
190,"Land (No. 2) Act, 1953",42,1952,https://www.oireachtas.ie/en/bills/bill/1952/42/
191,"Friendly Societies (Amendment) Act, 1953",41,1952,https://www.oireachtas.ie/en/bills/bill/1952/41/
192,Fisheries (Consolidation) Act  1953,40,1952,https://www.oireachtas.ie/en/bills/bill/1952/40/
193,"Local Government Act, 1953",28,1952,https://www.oireachtas.ie/en/bills/bill/1952/28/
194,"Comptroller and Auditor General (Amendment) Act, 1953",24,1952,https://www.oireachtas.ie/en/bills/bill/1952/24/
195,"Department of Lands (Establishment of Foresters) Act, 1953",23,1952,https://www.oireachtas.ie/en/bills/bill/1952/23/
196,"Insurance Act, 1953",21,1952,https://www.oireachtas.ie/en/bills/bill/1952/21/
197,"Grass Meal (Production) Act, 1953",20,1952,https://www.oireachtas.ie/en/bills/bill/1952/20/
198,"Trade Loans (Guarantee)(Amendment) Act, 1953",19,1952,https://www.oireachtas.ie/en/bills/bill/1952/19/
199,"Restrictive Trade Practices Act, 1953",16,1952,https://www.oireachtas.ie/en/bills/bill/1952/16/
200,Royal Hospital for Incurables Dublin (Charter Amendment) Act  1953 [Private],P1,1952,https://www.oireachtas.ie/en/bills/bill/1952/P1/
201,"Agriculture (Amendment) Act, 1955",41,1954,https://www.oireachtas.ie/en/bills/bill/1954/41/
202,Charities Bill 1954,40,1954,https://www.oireachtas.ie/en/bills/bill/1954/40/
203,"Statute of Limitations Act, 1957",39,1954,https://www.oireachtas.ie/en/bills/bill/1954/39/
204,"Married Women's Status Bill, 1954",38,1954,https://www.oireachtas.ie/en/bills/bill/1954/38/
205,"Workmen's Compensation (Amendment) Act, 1955",37,1954,https://www.oireachtas.ie/en/bills/bill/1954/37/
206,"Industrial Relations (Amendment) Act, 1955",36,1954,https://www.oireachtas.ie/en/bills/bill/1954/36/
207,"City and County Management (Amendment) Act, 1955",35,1954,https://www.oireachtas.ie/en/bills/bill/1954/35/
208,"Imposition of Duties (Confirmation of Orders)(No. 2) Act, 1954",34,1954,https://www.oireachtas.ie/en/bills/bill/1954/34/
209,"Destructive Insects and Pests Act, 1954",33,1954,https://www.oireachtas.ie/en/bills/bill/1954/33/
210,"Tourist Traffic Act, 1955",32,1954,https://www.oireachtas.ie/en/bills/bill/1954/32/
211,"Trade Loans (Guarantee)(Amendment) Act, 1954",31,1954,https://www.oireachtas.ie/en/bills/bill/1954/31/
212,"Alginate Industries (Ireland) Limited (Acquisition of Shares) Act, 1954",30,1954,https://www.oireachtas.ie/en/bills/bill/1954/30/
213,"Mortmain (Repeal of Enactments) Act, 1954",29,1954,https://www.oireachtas.ie/en/bills/bill/1954/29/
214,"Supplies and Services (Temporary Provisions) Act, 1946 (Continuance and Amendment) Act, 1955",28,1954,https://www.oireachtas.ie/en/bills/bill/1954/28/
215,"Agricultural Produce (Meat)(Miscellaneous Provisions) Act, 1954",27,1954,https://www.oireachtas.ie/en/bills/bill/1954/27/
216,"Rent Restrictions (Continuance and Amendment) Act, 1954",26,1954,https://www.oireachtas.ie/en/bills/bill/1954/26/
217,"Cork Fever Hospital (Amendment) Act, 1954",25,1954,https://www.oireachtas.ie/en/bills/bill/1954/25/
218,"Medical Practitioners Act, 1955",24,1954,https://www.oireachtas.ie/en/bills/bill/1954/24/
219,"National Monuments (Amendment) Act, 1954",23,1954,https://www.oireachtas.ie/en/bills/bill/1954/23/
220,"Public Authorities (Judicial Proceedings) Act, 1954",22,1954,https://www.oireachtas.ie/en/bills/bill/1954/22/
221,"Arbitration Act, 1954",21,1954,https://www.oireachtas.ie/en/bills/bill/1954/21/
222,"Solicitors Act, 1954",20,1954,https://www.oireachtas.ie/en/bills/bill/1954/20/
223,"Fatal Injuries Act, 1956",19,1954,https://www.oireachtas.ie/en/bills/bill/1954/19/
224,"Red Cross Act, 1954",18,1954,https://www.oireachtas.ie/en/bills/bill/1954/18/
225,"Factories Act, 1955",17,1954,https://www.oireachtas.ie/en/bills/bill/1954/17/
226,"Exchange Control Act, 1954",16,1954,https://www.oireachtas.ie/en/bills/bill/1954/16/
227,"State Property Act, 1954",15,1954,https://www.oireachtas.ie/en/bills/bill/1954/15/
228,"Local Government Act, 1955",14,1954,https://www.oireachtas.ie/en/bills/bill/1954/14/
229,"Appropriation Act, 1954",13,1954,https://www.oireachtas.ie/en/bills/bill/1954/13/
230,"Health Act, 1954",12,1954,https://www.oireachtas.ie/en/bills/bill/1954/12/
231,"Land Act, 1954",11,1954,https://www.oireachtas.ie/en/bills/bill/1954/11/
232,"Finance Act, 1954",10,1954,https://www.oireachtas.ie/en/bills/bill/1954/10/
233,"Collection of Taxes (Confirmation) Act, 1954",/9,/195,https://www.oireachtas.ie/en/bills/bill/1954/9/
234,Courts of Justice Bill 1954,/8,/195,https://www.oireachtas.ie/en/bills/bill/1954/8/
235,"Imposition of Duties (Confirmation of Orders) Act, 1954",/7,/195,https://www.oireachtas.ie/en/bills/bill/1954/7/
236,"Housing (Amendment) Act, 1954",/6,/195,https://www.oireachtas.ie/en/bills/bill/1954/6/
237,"Central Fund Act, 1954",/5,/195,https://www.oireachtas.ie/en/bills/bill/1954/5/
238,"Superannuation Act, 1954",/4,/195,https://www.oireachtas.ie/en/bills/bill/1954/4/
239,"Defence Forces (Temporary Provisions) Act, 1954",/3,/195,https://www.oireachtas.ie/en/bills/bill/1954/3/
240,"Rent Restrictions (Amendment) Act, 1954",/2,/195,https://www.oireachtas.ie/en/bills/bill/1954/2/
241,"Diseases of Animals Act, 1954",/1,/195,https://www.oireachtas.ie/en/bills/bill/1954/1/
242,"Industrial Research and Standards (Amendment) Act, 1954",39,1953,https://www.oireachtas.ie/en/bills/bill/1953/39/
243,"Electricity (Supply)(Amendment) Act, 1954",38,1953,https://www.oireachtas.ie/en/bills/bill/1953/38/
244,"Local Government (Temporary Reduction of Valuation) Act, 1954",35,1953,https://www.oireachtas.ie/en/bills/bill/1953/35/
245,"Salmon Conservancy Fund Act, 1954",34,1953,https://www.oireachtas.ie/en/bills/bill/1953/34/
246,"Local Loans Fund (Amendment)(No. 2) Act, 1954",33,1953,https://www.oireachtas.ie/en/bills/bill/1953/33/
247,"National Development Fund Act, 1954",32,1953,https://www.oireachtas.ie/en/bills/bill/1953/32/
248,"Intestates' Estates Act, 1954",21,1953,https://www.oireachtas.ie/en/bills/bill/1953/21/
249,"Consular Conventions Act, 1954",18,1953,https://www.oireachtas.ie/en/bills/bill/1953/18/
250,"Seanad Electoral (Panel Members) Act, 1954",39,1952,https://www.oireachtas.ie/en/bills/bill/1952/39/
251,"State Guarantees Act, 1954",25,1952,https://www.oireachtas.ie/en/bills/bill/1952/25/
252,"Defence Act, 1954",33,1951,https://www.oireachtas.ie/en/bills/bill/1951/33/
253,"Seeds and Fertilisers Supply Act, 1956",35,1955,https://www.oireachtas.ie/en/bills/bill/1955/35/
254,"Customs Act, 1956",34,1955,https://www.oireachtas.ie/en/bills/bill/1955/34/
255,"Finance (Profits of Certain Mines)(Temporary Relief from Taxation) Act, 1956",33,1955,https://www.oireachtas.ie/en/bills/bill/1955/33/
256,"Road Transport Act, 1956",32,1955,https://www.oireachtas.ie/en/bills/bill/1955/32/
